,Unnamed: 0,title,author,release year,book length,rating,number of ratings
141,141,"It's in His Kiss (Bridgertons, #7)",Julia Quinn,2005,384.0,4.01,105907
143,143,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,2011,338.0,3.92,160612
144,144,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,479.0,4.32,776513
145,145,In a Holidaze (Paperback),Christina Lauren,2020,307.0,3.74,110076
146,146,"Neon Gods (Dark Olympus, #1)",Katee Robert,2021,380.0,3.74,112532
147,147,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,2004,384.0,4.03,67926
148,148,"Carry On (Simon Snow, #1)",Rainbow Rowell,2015,522.0,4.2,280623
149,149,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,2021,384.0,4.67,227360
150,150,Safe Haven (Kindle Edition),Nicholas Sparks,2010,353.0,4.21,363661
152,152,"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade,2020,416.0,3.71,33910
155,155,"Voyager (Outlander, #3)",Diana Gabaldon,1993,870.0,4.38,286958
156,156,"Reflected in You (Crossfire, #2)",Sylvia Day,2012,352.0,4.31,334677
157,157,Birthday Girl (ebook),Penelope Douglas,2018,349.0,4.0,155589
160,160,Can You Keep a Secret? (Paperback),Sophie Kinsella,2003,374.0,3.84,417862
161,161,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,332.0,4.11,614151
162,162,"Insurgent (Divergent, #2)",Veronica Roth,2012,525.0,3.99,1367875
166,166,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,2013,454.0,4.26,377397
168,168,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,2021,757.0,4.41,380727
170,170,"Bully (Fall Away, #1)",Penelope Douglas,2013,333.0,3.94,161031
173,173,"Wait for You (Wait for You, #1)",Jennifer L. Armentrout,2013,386.0,4.16,152429
179,179,"Vision in White (Bride Quartet, #1)",Nora Roberts,2009,325.0,4.12,134276
183,183,Paper Towns (Paperback),John Green,2008,305.0,3.74,1193459
185,185,"Fallen (Fallen, #1)",Lauren Kate,2009,452.0,3.72,553649
186,186,"Paper Princess (The Royals, #1)",Erin Watt,2016,370.0,3.95,126593
188,188,"Dead Until Dark (Sookie Stackhouse, #1)",Kate Stayman-London,2001,292.0,3.96,522451
189,189,Mansfield Park (Paperback),Charlaine Harris,1814,488.0,3.86,321831
190,190,"The Proposal (The Wedding Date, #2)",Jane Austen,2018,325.0,3.49,100627
192,192,"What If It's Us (What If It's Us, #1)",David Nicholls,2018,437.0,3.86,121957
194,194,"After (After, #1)",K.A. Tucker,2014,582.0,3.71,263884
195,195,"It Happened One Autumn (Wallflowers, #2)",Anna Todd,2005,382.0,4.12,57733
198,198,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)",Tia Williams,2010,397.0,4.08,49547
199,199,One True Loves (Kindle Edition),Sarah MacLean,2016,352.0,4.1,164083
200,200,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,2014,552.0,4.42,332040
201,201,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,2013,567.0,4.56,409211
205,205,"Tangled (Tangled, #1)",Emma Chase,2013,254.0,4.05,114988
208,208,"The Crown (The Selection, #5)",Kiera Cass,2016,278.0,3.65,223841
213,213,"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur,2020,384.0,3.91,31978
217,217,"The Duchess War (Brothers Sinister, #1)",Courtney Milan,2012,270.0,3.82,26223
218,218,Bet Me (Mass Market Paperback),Jennifer Crusie,2004,432.0,3.93,90477
219,219,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,1997,503.0,4.14,1885367
220,220,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,2009,563.0,3.76,578256
223,223,"The Chase (Briar U, #1)",Elle Kennedy,2018,377.0,3.91,109987
224,224,Roomies (Paperback),Christina Lauren,2017,368.0,3.82,58406
229,229,"Entwined with You (Crossfire, #3)",Sylvia Day,2013,356.0,4.19,196211
230,230,"Neanderthal Seeks Human (Knitting in the City, #1)",Penny Reid,2013,404.0,3.9,60932
232,232,My Life Next Door (Hardcover),Huntley Fitzpatrick,2012,394.0,3.98,147935
233,233,"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,2016,386.0,4.1,102568
236,236,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012,535.0,4.23,493192
237,237,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,2017,528.0,4.05,124688
238,238,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,2012,241.0,4.16,169269
239,239,"Radiance (Wraith Kings, #1)",Grace Draven,2015,297.0,4.03,50425
241,241,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,2021,448.0,4.01,118844
243,243,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,2019,300.0,4.37,396096
245,245,"Allegiant (Divergent, #3)",Veronica Roth,2013,531.0,3.61,961821
247,247,Shipped (Paperback),Angie Hockman,2021,336.0,3.66,51696
249,249,"Soulless (Parasol Protectorate, #1)",Gail Carriger,2009,357.0,3.89,107608
250,250,"Vicious (Sinners of Saint, #1)",L.J. Shen,2016,372.0,4.01,111719
251,251,"Caraval (Caraval, #1)",Stephanie Garber,2016,407.0,4.0,294117
253,253,The Charm Offensive (Paperback),Alison Cochrun,2021,358.0,4.23,34726
255,255,"When a Scot Ties the Knot (Castles Ever After, #3)",Tessa Dare,2015,384.0,3.95,31387
256,256,"The Wicked King (The Folk of the Air, #2)",Holly Black,2019,336.0,4.34,445996
257,257,"Every Day (Every Day, #1)",David Levithan,2012,322.0,3.91,221358
265,265,All Rhodes Lead Here (Kindle Edition),Mariana Zapata,2021,572.0,4.35,70129
268,268,"A Princess in Theory (Reluctant Royals, #1)",Alyssa Cole,2018,360.0,3.78,14602
269,269,"Truth or Beard (Winston Brothers, #1)",Penny Reid,2015,390.0,3.91,46697
270,270,"The Happy Ever After Playlist (The Friend Zone, #2)",Abby Jimenez,2020,401.0,4.17,68882
271,271,Anna Karenina (Paperback),Leo Tolstoy,1878,964.0,4.08,769949
272,272,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,2020,637.0,4.43,224628
274,274,Cruel Beauty (Hardcover),Rosamund Hodge,2014,346.0,3.66,87119
281,281,"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,2007,528.0,4.31,129500
286,286,"Corrupt (Devil's Night, #1)",Penelope Douglas,2015,516.0,3.81,138238
287,287,A Thousand Boy Kisses (ebook),Tillie Cole,2016,316.0,4.16,102788
288,288,The Switch (Kindle Edition),Beth O'Leary,2020,336.0,3.99,95605
290,290,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,2013,461.0,4.18,310275
291,291,"Point of Retreat (Slammed, #2)",Colleen Hoover,2012,320.0,4.24,163696
