,Unnamed: 0,title,author,release year,book length,rating,number of ratings
580,580,"Bound by Honor (Born in Blood Mafia Chronicles, #1)",Cora Reilly,2014,273.0,3.87,77006
586,586,"The Perfect Hope (Inn Boonsboro Trilogy, #3)",Nora Roberts,2012,10.0,4.17,43739
587,587,"Once Burned (Night Prince, #1)",Jeaniene Frost,2012,373.0,4.2,66290
591,591,"Heaven and Earth (Three Sisters Island, #2)",Nora Roberts,2001,416.0,4.14,40486
593,593,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,2008,294.0,4.12,97790
594,594,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,2009,820.0,4.43,139381
595,595,Don't You Forget About Me (Kindle Edition),Mhairi McFarlane,2019,433.0,3.87,40746
596,596,"Will Grayson, Will Grayson (Hardcover)",John Green,2010,310.0,3.72,378446
604,604,Tell Me Three Things (Hardcover),Julie Buxbaum,2016,328.0,4.05,70824
605,605,"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,2000,283.0,3.8,247084
606,606,"A Lot like Love (FBI/US Attorney, #2)",Julie James,2011,274.0,4.07,31866
609,609,The Phantom of the Opera (Paperback),Gaston Leroux,1909,360.0,3.96,220745
610,610,"Flock (The Ravenhood, #1)",Kate  Stewart,2020,364.0,4.14,65945
611,611,"The Countess Conspiracy (Brothers Sinister, #3)",Courtney Milan,2013,309.0,3.92,11711
612,612,The Light We Lost (Hardcover),Jill Santopolo,2017,328.0,3.87,131246
614,614,"This Girl (Slammed, #3)",Colleen Hoover,2013,306.0,4.05,86070
615,615,"A Lady by Midnight (Spindle Cove, #3)",Tessa Dare,2012,374.0,3.87,18785
617,617,Dating You / Hating You (Paperback),Christina Lauren,2017,350.0,3.63,27840
618,618,Practice Makes Perfect (Mass Market Paperback),Julie James,2009,291.0,3.96,31107
620,620,"Twisted Palace (The Royals, #3)",Erin Watt,2016,370.0,3.93,67980
622,622,Before I Fall (Paperback),Lauren Oliver,2010,470.0,3.89,325074
623,623,Before We Were Strangers (Paperback),Renee Carlino,2015,320.0,4.21,55835
625,625,Dear Aaron (Kindle Edition),Mariana Zapata,2017,500.0,3.95,40646
627,627,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,2019,456.0,4.08,96114
629,629,"Face the Fire (Three Sisters Island, #3)",Nora Roberts,2002,358.0,4.15,39714
630,630,"Boyfriend Material (London Calling, #1)",Alexis  Hall,2020,427.0,4.09,81106
632,632,"An Extraordinary Union (The Loyal League, #1)",Alyssa Cole,2017,258.0,3.83,7756
633,633,"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,2021,324.0,3.74,15428
634,634,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,2006,289.0,4.14,196203
637,637,"Beautiful Oblivion (The Maddox Brothers, #1)",Jamie McGuire,2014,337.0,4.09,74833
639,639,"Lover Reborn (Black Dagger Brotherhood, #10)",J.R. Ward,2012,572.0,4.33,80075
642,642,"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,2011,390.0,3.89,120152
645,645,The No-Show (Paperback),Beth O'Leary,2022,337.0,3.9,35240
647,647,"After We Fell (After, #3)",Anna Todd,2014,837.0,3.83,125212
649,649,Funny You Should Ask (Paperback),Elissa Sussman,2022,352.0,3.78,43861
650,650,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",Laini Taylor,2014,613.0,4.13,102978
654,654,"First Grave on the Right (Charley Davidson, #1)",Darynda Jones,2011,310.0,4.02,83508
655,655,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",Nicholas Sparks,2003,465.0,3.81,84084
656,656,"If the Shoe Fits (Meant to Be, #1)",Julie   Murphy,2021,304.0,4.02,24503
661,661,"The Magpie Lord (A Charm of Magpies, #1)",K.J. Charles,2013,222.0,4.06,17123
662,662,"A Duke by Default (Reluctant Royals, #2)",Alyssa Cole,2018,374.0,3.89,8423
663,663,"A Wallflower Christmas (Wallflowers, #4.5)",Lisa Kleypas,2008,213.0,3.87,24035
665,665,"Gabriel's Rapture (Gabriel's Inferno, #2)",Sylvain Reynard,2012,386.0,4.21,112959
667,667,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,2016,561.0,4.61,477098
668,668,"Shadowfever (Fever, #5)",Karen Marie Moning,2011,608.0,4.39,105380
671,671,"Origin (Lux, #4)",Jennifer L. Armentrout,2013,374.0,4.34,106214
673,673,"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",Sarah MacLean,2011,370.0,4.0,26960
674,674,"No Good Duke Goes Unpunished (The Rules of Scoundrels, #3)",Sarah MacLean,2013,384.0,3.86,20338
675,675,"Heart of the Sea (Gallaghers of Ardmore, #3)",Nora Roberts,2000,369.0,4.15,30801
676,676,Hani and Ishu's Guide to Fake Dating (Kindle Edition),Adiba Jaigirdar,2021,352.0,4.15,21328
677,677,"The Book of Life (All Souls, #3)",Deborah Harkness,2014,561.0,4.19,171986
678,678,"Unearthly (Unearthly, #1)",Cynthia Hand,2011,435.0,4.01,126498
680,680,"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)",Sarah MacLean,2014,376.0,3.96,19315
681,681,"Visions of Heat (Psy-Changeling, #2)",Nalini Singh,2007,332.0,4.08,38315
682,682,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,2006,324.0,4.01,198979
684,684,The Song of Achilles (Paperback),Madeline Miller,2011,378.0,4.38,950167
686,686,"Morrigan's Cross (Circle Trilogy, #1)",Nora Roberts,2006,321.0,4.14,52998
687,687,"Born in Shame (Born In Trilogy, #3)",Nora Roberts,1996,384.0,4.1,34165
688,688,"Red Lily (In the Garden, #3)",Nora Roberts,2005,351.0,4.08,38459
691,691,"The Raven Prince (Princes Trilogy, #1)",Elizabeth Hoyt,2006,392.0,3.95,22313
692,692,Midnight Sun [2008 Draft] (ebook),Stephenie Meyer,2008,264.0,4.01,149452
693,693,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,2015,378.0,3.84,188682
695,695,"Kiss of the Highlander (Highlander, #4)",Karen Marie Moning,2001,396.0,4.3,41767
696,696,This Time Next Year (Kindle Edition),Sophie Cousens,2020,352.0,3.85,71158
697,697,"Throttled (Dirty Air, #1)",Lauren Asher,2020,355.0,3.88,67884
699,699,"Pretty Reckless (All Saints High, #1)",L.J. Shen,2019,360.0,4.12,56819
700,700,"Ten Things I Love About You (Bevelstoke, #3)",Julia Quinn,2010,377.0,3.99,24867
701,701,Stepbrother Dearest (Paperback),Penelope Ward,2014,230.0,4.06,66152
703,703,"Backstage Pass (Sinners on Tour, #1)",Olivia Cunning,2010,344.0,4.0,60233
704,704,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,2007,328.0,3.69,162190
707,707,"Down London Road (On Dublin Street, #2)",Samantha Young,2013,373.0,4.21,52006
708,708,"Wicked Intentions (Maiden Lane, #1)",Elizabeth Hoyt,2010,401.0,3.82,18073
711,711,"Reached (Matched, #3)",Ally Condie,2012,512.0,3.55,157531
712,712,"Key of Knowledge (Key Trilogy, #2)",Nora Roberts,2003,338.0,4.12,36506
714,714,"Welcome to Temptation (Dempseys, #1)",Jennifer Crusie,2000,416.0,3.94,33011
715,715,"The Maddest Obsession (Made, #2)",Danielle Lori,2019,333.0,4.31,85902
718,718,"Chasing Cassandra (The Ravenels, #6)",Lisa Kleypas,2020,384.0,4.14,24023
721,721,"Finale (Hush, Hush, #4)",Becca Fitzpatrick,2012,464.0,4.14,163162
722,722,Flipped (Paperback),Wendelin Van Draanen,2001,212.0,3.97,109473
723,723,"Things We Never Got Over (Knockemout, #1)",Lucy Score,2022,570.0,4.29,175869
724,724,"Act Like It (London Celebrities, #1)",Lucy  Parker,2015,199.0,3.87,10804
725,725,A Room with a View (Paperback),E.M. Forster,1908,119.0,3.9,169459
727,727,"Electric Idol (Dark Olympus, #2)",Katee Robert,2022,375.0,4.03,38994
729,729,"Grin and Beard It (Winston Brothers, #2)",Penny Reid,2016,389.0,4.14,27092
730,730,"Requiem (Delirium, #3)",Lauren Oliver,2013,391.0,3.74,141702
731,731,Eligible: A Modern Retelling of Pride & Prejudice (Hardcover),Curtis Sittenfeld,2016,492.0,3.6,83519
737,737,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",Abbi Glines,2013,292.0,4.21,84454
742,742,"No Rest for the Wicked (Immortals After Dark, #2)",Kresley Cole,2006,356.0,4.27,56303
744,744,Beauty: A Retelling of the Story of Beauty and the Beast (Paperback),Robin McKinley,1978,256.0,4.05,77679
746,746,My True Love Gave to Me: Twelve Holiday Stories (Hardcover),Stephanie Perkins,2014,321.0,3.67,39069
747,747,"Well Matched (Well Met, #3)",(Editor/Contributer),2021,313.0,3.87,18109
751,751,The Henna Wars (Hardcover),Adiba Jaigirdar,2020,400.0,4.0,20281
752,752,"At Grave's End (Night Huntress, #3)",Jeaniene Frost,2008,342.0,4.29,87401
754,754,"While We Were Dating (The Wedding Date, #6)",Jasmine Guillory,2021,336.0,3.76,29416
755,755,"Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,2012,286.0,4.07,52342
756,756,"The Risk (Mindf*ck, #1)",S.T. Abby,2016,132.0,4.29,73865
757,757,Felix Ever After (Hardcover),Kacen Callender,2020,368.0,4.32,47296
760,760,"The Warlord Wants Forever (Immortals After Dark, #0.5)",Kresley Cole,2006,163.0,4.04,58997
761,761,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,2007,261.0,4.05,117960
762,762,"The Lost Duke of Wyndham (Two Dukes of Wyndham, #1)",Julia Quinn,2008,371.0,3.74,22186
764,764,"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0)",Penny Reid,2014,372.0,4.21,27550
765,765,Caressed by Ice (Psy-Changeling #3),Nalini Singh,2007,352.0,4.29,38179
767,767,"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips,1998,400.0,4.17,33460
768,768,"After Ever Happy (After, #4)",Anna Todd,2015,512.0,3.99,109402
772,772,"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,2014,825.0,4.54,113874
776,776,"Love Unscripted (Love, #1)",Tina Reber,2010,668.0,4.02,67961
778,778,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,2009,320.0,4.01,183547
779,779,"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,2008,368.0,4.01,183532
783,783,"Blood Brothers (Sign of Seven, #1)",Nora Roberts,2007,328.0,4.16,52509
784,784,"Beautiful World, Where Are You (Hardcover)",Sally Rooney,2021,356.0,3.59,250892
789,789,"This Man (This Man, #1)",Jodi Ellen Malpas,2012,448.0,4.07,109066
792,792,You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,336.0,4.13,36131
793,793,You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,336.0,4.13,36131
795,795,Would Like to Meet (Kindle Edition),Rachel Winters,2019,336.0,3.72,19515
803,803,"The Intimacy Experiment (The Shameless Series, #2)",Rosie Danan,2021,336.0,3.71,15730
804,804,"The Dark Highlander (Highlander, #5)",Karen Marie Moning,2002,370.0,4.27,36922
805,805,"Archangel's Kiss (Guild Hunter, #2)",Nalini Singh,2010,323.0,4.2,55634
806,806,Nick & Norah's Infinite Playlist (Hardcover),Rachel Cohn,2006,183.0,3.7,83459
807,807,"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,2015,416.0,4.1,62529
808,808,"Glass Sword (Red Queen, #2)",Victoria Aveyard,2016,444.0,3.83,296406
810,810,Good Girl Complex (Paperback),Elle Kennedy,2022,368.0,3.6,39196
815,815,The Girl He Used to Know (Hardcover),Tracey Garvis Graves,2019,291.0,3.96,42169
818,818,"Barbarian Alien (Ice Planet Barbarians, #2)",Ruby Dixon,2015,248.0,3.81,42699
819,819,Just Last Night (Paperback),Mhairi McFarlane,2021,416.0,4.04,31666
820,820,"To Tame a Highland Warrior (Highlander, #2)",Karen Marie Moning,1999,366.0,4.13,33037
822,822,XOXO (ebook),Axie Oh,2021,352.0,3.9,16609
823,823,The Siren (Paperback),Kiera Cass,2009,267.0,3.72,76367
825,825,"Maybe Not (Maybe, #1.5)",Colleen Hoover,2014,161.0,3.86,76362
827,827,"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,2019,329.0,4.2,35376
829,829,"One with You (Crossfire, #5)",Sylvia Day,2016,464.0,4.12,68873
832,832,Fangirl (Kindle Edition),Rainbow Rowell,2013,483.0,3.98,695972
834,834,"Desperate Measures (Wicked Villains, #1)",Katee Robert,2019,230.0,3.55,27506
836,836,"Pleasure Unbound (Demonica, #1)",Larissa Ione,2008,389.0,4.04,53139
841,841,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,2011,355.0,3.99,58622
842,842,"Wildfire (Hidden Legacy, #3)",Ilona Andrews,2017,391.0,4.5,34237
844,844,"In Flight (Up in the Air, #1)",R.K. Lilley,2012,330.0,4.08,76825
845,845,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,2022,352.0,4.64,3988
847,847,"Wayward Son (Simon Snow, #2)",Rainbow Rowell,2019,356.0,3.94,91308
848,848,"The Winter Sea (Slains, #1)",Susanna Kearsley,2008,527.0,4.1,63106
851,851,"About That Night (FBI/US Attorney, #3)",Julie James,2012,284.0,4.04,24376
853,853,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001,661.0,4.07,482030
854,854,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001,661.0,4.07,482030
855,855,"To Have and to Hoax (The Regency Vows, #1)",Martha Waters,2020,367.0,3.4,11738
857,857,The Bridges of Madison County (Mass Market Paperback),Robert James Waller,1992,224.0,3.66,89660
860,860,"Knight (Unfinished Hero, #1)",Kristen Ashley,2012,285.0,3.92,53672
861,861,"Legendary (Caraval, #2)",Stephanie Garber,2018,451.0,4.23,125251
862,862,"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,2007,402.0,3.92,64186
865,865,"The Winter King (Weathermages of Mystral, #1)",C.L. Wilson,2014,594.0,4.07,18752
866,866,Bloom (Paperback),Kevin Panetta,2019,368.0,3.97,38717
867,867,Frankly in Love (Hardcover),David  Yoon,2019,432.0,3.75,26164
873,873,"The Highlander's Touch (Highlander, #3)",Karen Marie Moning,2000,356.0,4.13,31955
875,875,"Opposition (Lux, #5)",Jennifer L. Armentrout,2014,533.0,4.35,78823
877,877,Boy Meets Boy (Paperback),David Levithan,2003,185.0,3.82,72807
880,880,"Checkmate (Neighbor from Hell, #3)",R.L. Mathewson,2012,350.0,4.13,47848
881,881,"Hang the Moon (Written in the Stars, #2)",Alexandria Bellefleur,2021,384.0,3.86,10989
883,883,"Brazen and the Beast (The Bareknuckle Bastards, #2)",Sarah MacLean,2019,400.0,4.08,13241
884,884,Cotillion (Paperback),Georgette Heyer,1953,416.0,4.08,15398
885,885,"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,2011,377.0,4.21,90348
887,887,"Splendid (The Splendid Trilogy, #1)",Julia Quinn,1995,396.0,3.88,21984
888,888,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,1999,554.0,4.27,61061
889,889,Brutal Prince (Brutal Birthright #1),Sophie Lark,2020,376.0,3.9,59077
891,891,Ravished (Mass Market Paperback),Amanda Quick,1992,385.0,4.02,19058
892,892,"Deep (Stage Dive, #4)",Kylie Scott,2015,272.0,4.03,38619
893,893,Carolina Moon (Mass Market Paperback),Nora Roberts,2000,470.0,4.07,43099
896,896,"Ricochet (Addicted, #2)",Krista Ritchie,2013,265.0,3.88,48742
899,899,"Dark Prince (Dark, #1)",Christine Feehan,1999,447.0,3.99,55659
900,900,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,2007,290.0,4.05,94698
903,903,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,2014,368.0,3.9,55547
906,906,"Crash (Crash, #1)",Nicole  Williams,2012,296.0,3.97,60399
908,908,"Kings Rising (Captive Prince, #3)",C.S. Pacat,2016,385.0,4.43,49858
910,910,Arabella (Paperback),Georgette Heyer,1949,280.0,4.08,18588
912,912,Saint Anything (Hardcover),Sarah Dessen,2015,417.0,4.03,60475
915,915,"Bitten (Otherworld, #1)",Kelley Armstrong,2001,436.0,4.02,99541
919,919,Under the Whispering Door (Hardcover),T.J. Klune,2021,373.0,4.19,102049
923,923,A Very Large Expanse of Sea (Hardcover),Tahereh Mafi,2018,310.0,4.13,51694
924,924,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,2022,805.0,4.52,151116
926,926,"Slightly Dangerous (Bedwyn Saga, #6)",Mary Balogh,2004,365.0,4.21,19432
928,928,"The Day of the Duchess (Scandal & Scoundrel, #3)",Sarah MacLean,2017,400.0,3.92,14031
929,929,"Tempting the Best Man (Gamble Brothers, #1)",J. Lynn,2012,172.0,3.69,33510
930,930,"Float Plan (Beck Sisters, #1)",Trish Doller,2021,272.0,4.0,21703
931,931,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,1999,352.0,3.6,107531
932,932,"Us (Him, #2)",Sarina Bowen,2016,322.0,4.32,26412
933,933,Dumplin' (Dumplin' #1),Julie   Murphy,2015,371.0,3.9,83838
934,934,"Love Hacked (Knitting in the City, #3)",Penny Reid,2014,402.0,4.12,24306
935,935,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,1040.0,4.01,77268
940,940,Mine to Possess (Psy-Changeling #4),Nalini Singh,2008,328.0,4.08,30154
941,941,"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn,1999,375.0,4.04,20497
942,942,"First Drop of Crimson (Night Huntress World, #1)",Jeaniene Frost,2010,371.0,4.14,56219
943,943,"Battle Royal (Palace Insiders, #1)",Lucy  Parker,2021,397.0,3.84,8793
944,944,"Unveiled (Turner, #1)",Courtney Milan,2011,384.0,3.86,9105
960,960,"Beard in Mind (Winston Brothers, #4)",Penny Reid,2017,393.0,4.2,22558
962,962,"Changeless (Parasol Protectorate, #2)",Gail Carriger,2010,389.0,3.99,44786
963,963,"Bittersweet (True North, #1)",Sarina Bowen,2016,348.0,4.04,19508
965,965,The Obsession (Hardcover),Nora Roberts,2016,453.0,4.21,71821
966,966,"The Mighty Storm (The Storm, #1)",Samantha Towle,2012,442.0,4.16,72206
968,968,Opposite of Always (Kindle Edition),Justin A. Reynolds,2019,451.0,3.67,22288
970,970,"Dance of the Gods (Circle Trilogy, #2)",Nora Roberts,2006,321.0,4.16,29877
972,972,"Faking It (Losing It, #2)",Cora Carmack,2013,325.0,3.93,34437
973,973,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,2013,457.0,4.02,433565
974,974,Mr. Perfect (Mass Market Paperback),Linda Howard,2000,405.0,4.06,34063
975,975,Honor's Splendour (Mass Market Paperback),Julie Garwood,1987,374.0,4.23,31123
976,976,"Lady Sophia's Lover (Bow Street Runners, #2)",Lisa Kleypas,2002,377.0,3.96,19157
977,977,Fight or Flight (Paperback),Samantha Young,2018,288.0,3.73,21971
978,978,The Baller (Kindle Edition),Vi Keeland,2016,285.0,4.03,44153
980,980,The Unexpected Everything (Hardcover),Morgan Matson,2016,519.0,4.0,38823
983,983,"Wild Man (Dream Man, #2)",Kristen Ashley,2011,528.0,4.19,42456
987,987,"Once Upon a Winter's Eve (Spindle Cove, #1.5)",Tessa Dare,2011,113.0,3.59,11582
988,988,The Scorpio Races (Hardcover),Maggie Stiefvater,2011,409.0,4.08,105997
990,990,Conversations with Friends (Kindle Edition),Sally Rooney,2017,304.0,3.81,338938
993,993,"Lothaire (Immortals After Dark, #11)",Kresley Cole,2012,468.0,4.38,44918
996,996,The Holiday Swap (Kindle Edition),Maggie Knox,2021,351.0,3.61,36104
997,997,"The Stopover (The Miles High Club, #1)",T.L. Swan,2019,521.0,4.1,83232
998,998,Midnight Bayou (Mass Market Paperback),Nora Roberts,2001,338.0,3.99,33186
999,999,Lady Chatterley's Lover (Hardcover),D.H. Lawrence,1928,376.0,3.51,111798
1001,1001,The Silver Linings Playbook (Paperback),Matthew Quick,2008,291.0,3.98,154784
1002,1002,"Hate to Want You (Forbidden Hearts, #1)",Alisha Rai,2017,371.0,3.72,6516
1003,1003,"Once Ghosted, Twice Shy (Reluctant Royals, #2.5)",Alyssa Cole,2019,101.0,3.79,4714
1004,1004,"Worth Any Price (Bow Street Runners, #3)",Lisa Kleypas,2003,388.0,4.02,19683
1007,1007,Anyone But You (Mass Market Paperback),Jennifer Crusie,1996,283.0,3.81,20167
1009,1009,Catching Jordan (Paperback),Miranda Kenneally,2011,288.0,3.84,61749
1010,1010,"The Darkest Kiss (Lords of the Underworld, #2)",Gena Showalter,2008,384.0,4.24,54250
1014,1014,"Rusty Nailed (Cocktail, #2)",Alice Clayton,2014,288.0,3.93,32335
1015,1015,"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,2004,362.0,4.34,53073
1017,1017,Just Haven't Met You Yet (Paperback),Sophie Cousens,2021,371.0,3.81,35118
1018,1018,"To Sir, with Love (Paperback)",Lauren Layne,2021,288.0,3.85,18958
1020,1020,"Uglies (Uglies, #1)",Scott Westerfeld,2005,425.0,3.85,622785
1021,1021,Words in Deep Blue (Hardcover),Cath Crowley,2016,273.0,4.04,32724
1022,1022,"The Luxe (Luxe, #1)",Anna Godbersen,2007,433.0,3.64,71900
1023,1023,"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis  Hall,2021,449.0,3.93,8614
1027,1027,The Prize (Mass Market Paperback),Julie Garwood,1991,408.0,4.22,29102
1029,1029,"Long Shot (Hoops, #1)",Kennedy Ryan,2018,493.0,4.22,27183
1035,1035,The Lover's Dictionary (Hardcover),David Levithan,2011,211.0,3.88,44871
1037,1037,"Dirty (Dive Bar, #1)",Kylie Scott,2016,275.0,3.89,25954
1041,1041,Saving Grace (Paperback),Julie Garwood,1993,407.0,4.25,26972
1043,1043,"Stargirl (Stargirl, #1)",Jerry Spinelli,2000,186.0,3.77,317010
1044,1044,"Daring to Dream (Dream Trilogy, #1)",Nora Roberts,1996,376.0,4.04,25394
1045,1045,"Falling into You (Falling, #1)",Jasinda Wilder,2013,240.0,4.03,53083
1046,1046,"Archangel's Consort (Guild Hunter, #3)",Nalini Singh,2011,324.0,4.22,41665
1047,1047,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,2012,488.0,4.16,176313
1048,1048,"A Not So Meet Cute (Cane Brothers, #1)",Meghan Quinn,2021,404.0,4.15,60854
1049,1049,Too Late (ebook),Colleen Hoover,2016,395.0,3.95,90978
1051,1051,"One Dance with a Duke (Stud Club, #1)",Tessa Dare,2010,384.0,3.86,14413
1053,1053,"Blurred Lines (Love Unexpectedly, #1)",Lauren Layne,2015,221.0,3.94,24337
1054,1054,"The Game Plan (Game On, #3)",Kristen Callihan,2015,323.0,4.1,29269
1056,1056,"Lady Isabella's Scandalous Marriage (MacKenzies & McBrides, #2)",Jennifer Ashley,2010,316.0,3.92,16893
1061,1061,Flowers from the Storm (Mass Market Paperback),Laura Kinsale,1992,533.0,4.09,14924
1063,1063,Agnes and the Hitman (The Organization #0),Jennifer Crusie,2007,421.0,3.95,19791
1065,1065,The Princess Trap (Paperback),Talia Hibbert,2018,301.0,3.76,9367
1068,1068,"The Indigo Spell (Bloodlines, #3)",Richelle Mead,2013,401.0,4.36,99921
1069,1069,"The Hollow (Sign of Seven, #2)",Nora Roberts,2008,316.0,4.14,31799
1072,1072,You Made a Fool of Death with Your Beauty (Hardcover),Akwaeke Emezi,2022,288.0,3.75,14222
1074,1074,A Quick Bite (Argeneau #1),Lynsay Sands,2005,360.0,3.9,42772
1075,1075,Blackmoore (Paperback),Julianne Donaldson,2013,286.0,4.17,27410
1080,1080,By the Book (Meant to Be #2),Jasmine Guillory,2022,320.0,3.76,16655
1081,1081,Far From the Madding Crowd (Paperback),Thomas Hardy,1874,433.0,3.95,142383
1083,1083,"The King (Black Dagger Brotherhood, #12)",J.R. Ward,2014,591.0,4.36,52334
1084,1084,"Gentle Rogue (Malory-Anderson Family, #3)",Johanna Lindsey,1990,426.0,4.2,21517
1087,1087,"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,316.0,3.91,103192
1088,1088,"The Ugly Duchess (Fairy Tales, #4)",Eloisa James,2012,334.0,3.65,13514
1090,1090,"Spell of the Highlander (Highlander, #7)",Karen Marie Moning,2005,394.0,4.27,26290
1094,1094,"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,2010,503.0,3.83,132770
1095,1095,10 Blind Dates (Hardcover),Ashley Elston,2019,336.0,4.02,20195
1096,1096,"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,2006,368.0,3.6,1638005
1098,1098,The Queer Principles of Kit Webb (London Highwaymen #1),Cat Sebastian,2021,348.0,3.93,5949
1100,1100,She Gets the Girl (Hardcover),Rachael Lippincott,2022,384.0,4.22,17332
1101,1101,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,2016,452.0,4.25,137939
1102,1102,"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,2017,398.0,3.94,151427
1104,1104,"Beauty and the Blacksmith  (Spindle Cove, #3.5)",Tessa Dare,2013,224.0,3.76,11041
1105,1105,"World After (Penryn & the End of Days, #2)",Susan Ee,2013,320.0,4.15,100144
1106,1106,"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,2007,303.0,4.0,42404
1108,1108,"To Love and to Loathe (The Regency Vows, #2)",Martha Waters,2021,384.0,3.51,11074
1112,1112,"Rock Chick Rescue (Rock Chick, #2)",Kristen Ashley,2009,498.0,4.3,36458
1114,1114,"The Secret History of the Pink Carnation (Pink Carnation, #1)",Lauren Willig,2004,428.0,3.69,22581
1117,1117,"Kiss of the Night (Dark-Hunter, #4)",Sherrilyn Kenyon,2004,368.0,4.22,43489
1118,1118,"Fixed on You (Fixed, #1)",Laurelin Paige,2013,231.0,4.13,54771
1119,1119,"Good Boy (WAGs, #1)",Sarina Bowen,2017,269.0,4.04,20456
1122,1122,"The Darkest Temptation (Made, #3)",Danielle Lori,2020,410.0,4.12,65357
1124,1124,Someone Like You (Paperback),Sarah Dessen,1998,281.0,3.92,101491
1128,1128,"Magic Study (Study, #2)",Maria V. Snyder,2006,392.0,4.04,76628
1129,1129,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001,294.0,3.82,672829
1131,1131,"The Raven King (The Raven Cycle, #4)",Maggie Stiefvater,2016,439.0,4.25,129859
1132,1132,"Beautiful Bitch (Beautiful Bastard, #1.5)",Christina Lauren,2013,161.0,3.87,44756
1133,1133,"Beauty from Pain (Beauty, #1)",Georgia Cates,2013,338.0,4.22,55542
1135,1135,I Capture the Castle (Hardcover),Dodie Smith,1948,408.0,4.0,95848
1136,1136,"Slippery Creatures (The Will Darling Adventures, #1)",K.J. Charles,2020,265.0,4.07,7845
1138,1138,"Hex Hall (Hex Hall, #1)",Rachel Hawkins,2010,323.0,3.92,140304
1139,1139,Set on You (Paperback),Amy  Lea,2022,384.0,3.71,13844
1140,1140,"Crave (Crave, #1)",Tracy Wolff,2020,592.0,3.81,97338
1141,1141,Second Chance Summer (Hardcover),Morgan Matson,2012,468.0,4.13,50899
1142,1142,"A Lot Like Adiós (Primas of Power, #2)",Alexis Daria,2021,387.0,3.75,9457
1143,1143,"Dragon Actually (Dragon Kin, #1)",G.A. Aiken,2004,336.0,3.92,28733
1146,1146,"Scandalous (Sinners of Saint, #3)",L.J. Shen,2017,315.0,4.18,45822
1148,1148,"Seize the Night (Dark-Hunter, #6)",Sherrilyn Kenyon,2004,289.0,4.34,46888
1151,1151,Meet Me in the Margins (Paperback),Melissa    Ferguson,2022,309.0,3.64,17452
